Series,ImageID,Filename,Repeat,HashMs,SignMs,EmbedMs,ExtractRecoverMs,VerifyMs,TotalMs,EmbeddingSuccess
CT-02,CT-02_image-00097,image-00097.tiff,10,1.21525,4.93104166666667,12.1841666666667,3.20008333333333,1.40895833333333,22.94175,1
CT-02,CT-02_image-00106,image-00106.tiff,1,1.24533333333333,4.934,12.6535833333333,3.26716666666667,1.428625,23.53375,1
CT-02,CT-02_image-00106,image-00106.tiff,2,1.20979166666667,4.99029166666667,12.6482916666667,3.36658333333333,1.47820833333333,23.6968333333333,1
CT-02,CT-02_image-00106,image-00106.tiff,3,1.230875,4.944125,12.6472916666667,3.37208333333333,1.42329166666667,23.6207083333333,1
CT-02,CT-02_image-00106,image-00106.tiff,4,1.22470833333333,4.95470833333333,12.9475416666667,3.36408333333333,1.41679166666667,23.9105,1
CT-02,CT-02_image-00106,image-00106.tiff,5,1.22975,5.09279166666667,13.12975,3.333625,1.61354166666667,24.4070416666667,1
CT-02,CT-02_image-00106,image-00106.tiff,6,1.24154166666667,4.94541666666667,12.3896666666667,3.21629166666667,1.43304166666667,23.2307083333333,1
CT-02,CT-02_image-00106,image-00106.tiff,7,1.22141666666667,5.06591666666667,13.1482083333333,3.41725,1.505875,24.363875,1
CT-02,CT-02_image-00106,image-00106.tiff,8,1.22579166666667,4.95270833333333,13.2734166666667,3.43141666666667,1.43533333333333,24.3222083333333,1
CT-02,CT-02_image-00106,image-00106.tiff,9,1.21558333333333,4.94833333333333,13.5405,3.36395833333333,1.42095833333333,24.4923333333333,1
CT-02,CT-02_image-00106,image-00106.tiff,10,1.246875,4.934375,13.255625,3.37420833333333,1.42916666666667,24.2430416666667,1
CT-02,CT-02_image-00110,image-00110.tiff,1,1.232375,4.94304166666667,12.542625,3.26370833333333,1.41995833333333,23.4065,1
CT-02,CT-02_image-00110,image-00110.tiff,2,1.21725,4.94833333333333,12.5374583333333,3.23308333333333,1.413625,23.352625,1
CT-02,CT-02_image-00110,image-00110.tiff,3,1.21758333333333,4.95191666666667,12.4117916666667,3.23808333333333,1.43320833333333,23.2549583333333,1
CT-02,CT-02_image-00110,image-00110.tiff,4,1.206375,4.92579166666667,12.4162083333333,3.31445833333333,1.546,23.412,1
CT-02,CT-02_image-00110,image-00110.tiff,5,1.327,5.11283333333333,12.837625,3.18666666666667,1.626375,24.1004166666667,1
CT-02,CT-02_image-00110,image-00110.tiff,6,1.25708333333333,4.98316666666667,12.6377916666667,3.33570833333333,1.43520833333333,23.65325,1
CT-02,CT-02_image-00110,image-00110.tiff,7,1.21233333333333,5.002,13.0244583333333,3.31733333333333,1.45558333333333,24.0148333333333,1
CT-02,CT-02_image-00110,image-00110.tiff,8,1.22070833333333,4.93920833333333,12.7635,3.27041666666667,1.43020833333333,23.6270833333333,1
CT-02,CT-02_image-00110,image-00110.tiff,9,1.46129166666667,4.9565,12.565625,3.21308333333333,1.45654166666667,23.6572916666667,1
CT-02,CT-02_image-00110,image-00110.tiff,10,1.22079166666667,4.90933333333333,12.5544583333333,3.29358333333333,1.45408333333333,23.4352916666667,1
CT-02,CT-02_image-00119,image-00119.tiff,1,1.2515,4.95970833333333,12.8629583333333,3.46095833333333,1.42754166666667,23.9659166666667,1
CT-02,CT-02_image-00119,image-00119.tiff,2,1.2265,4.93991666666667,12.889625,3.47266666666667,1.41395833333333,23.9452916666667,1
CT-02,CT-02_image-00119,image-00119.tiff,3,1.222125,4.94825,12.7946666666667,3.41058333333333,1.411875,23.7897916666667,1
CT-02,CT-02_image-00119,image-00119.tiff,4,1.22025,4.9445,12.8017083333333,3.29604166666667,1.610125,23.8759583333333,1
CT-02,CT-02_image-00119,image-00119.tiff,5,1.23266666666667,4.965625,13.0003333333333,3.405125,1.56808333333333,24.177625,1
CT-02,CT-02_image-00119,image-00119.tiff,6,1.22770833333333,4.980875,12.759375,3.36408333333333,1.42516666666667,23.762625,1
CT-02,CT-02_image-00119,image-00119.tiff,7,1.21995833333333,4.95729166666667,13.36125,3.48516666666667,1.425,24.4515416666667,1
CT-02,CT-02_image-00119,image-00119.tiff,8,1.214625,4.95308333333333,13.060875,3.452375,1.4705,24.1546666666667,1
CT-02,CT-02_image-00119,image-00119.tiff,9,1.22491666666667,4.93729166666667,12.6822916666667,3.327,1.45908333333333,23.6339166666667,1
CT-02,CT-02_image-00119,image-00119.tiff,10,1.207625,4.960625,12.7447916666667,3.26845833333333,1.42179166666667,23.605875,1
CT-02,CT-02_image-00123,image-00123.tiff,1,1.23025,4.97875,12.4715,3.34041666666667,1.42191666666667,23.4455,1
CT-02,CT-02_image-00123,image-00123.tiff,2,1.21491666666667,4.94870833333333,12.4520833333333,3.260375,1.44095833333333,23.319625,1
CT-02,CT-02_image-00123,image-00123.tiff,3,1.22483333333333,4.93333333333333,12.447125,3.22458333333333,1.40783333333333,23.240125,1
CT-02,CT-02_image-00123,image-00123.tiff,4,1.21966666666667,4.927625,12.5320833333333,3.28166666666667,1.43016666666667,23.393625,1
CT-02,CT-02_image-00123,image-00123.tiff,5,1.21820833333333,4.97845833333333,13.142,3.30195833333333,1.68008333333333,24.3263333333333,1
CT-02,CT-02_image-00123,image-00123.tiff,6,1.230125,5.019625,12.9655,3.39566666666667,1.46929166666667,24.0859166666667,1
CT-02,CT-02_image-00123,image-00123.tiff,7,1.38258333333333,4.941375,12.8497083333333,3.29141666666667,1.45625,23.925625,1
CT-02,CT-02_image-00123,image-00123.tiff,8,1.22633333333333,4.91858333333333,12.443125,3.33770833333333,1.42045833333333,23.3495416666667,1
CT-02,CT-02_image-00123,image-00123.tiff,9,1.22729166666667,4.96254166666667,12.479,3.19408333333333,1.420125,23.2857083333333,1
CT-02,CT-02_image-00123,image-00123.tiff,10,1.213375,4.93070833333333,12.280625,3.20529166666667,1.407625,23.0401666666667,1
CT-02,CT-02_image-00132,image-00132.tiff,1,1.24475,4.96595833333333,12.7558333333333,3.27083333333333,1.44891666666667,23.689875,1
CT-02,CT-02_image-00132,image-00132.tiff,2,1.21933333333333,4.92570833333333,12.7704166666667,3.20008333333333,1.421,23.5393333333333,1
CT-02,CT-02_image-00132,image-00132.tiff,3,1.21383333333333,4.91841666666667,12.7764166666667,3.244625,1.40508333333333,23.5606666666667,1
CT-02,CT-02_image-00132,image-00132.tiff,4,1.22391666666667,4.92204166666667,12.6374166666667,3.24754166666667,1.40775,23.4409583333333,1
CT-02,CT-02_image-00132,image-00132.tiff,5,1.20858333333333,4.92529166666667,12.5287916666667,3.24204166666667,1.40366666666667,23.3107916666667,1
CT-02,CT-02_image-00132,image-00132.tiff,6,1.20633333333333,4.91341666666667,12.6974583333333,3.23304166666667,1.40616666666667,23.4586666666667,1
CT-02,CT-02_image-00132,image-00132.tiff,7,1.21729166666667,4.92466666666667,12.5463333333333,3.19966666666667,1.40391666666667,23.294125,1
